Feature,Coefficient
YearBuilt,311.140248134
YearRemodAdd,112.893046321
GarageArea,67.0016777133
GrLivArea,64.8508725188
MasVnrArea,38.302818082
TotalBsmtSF,32.984539588
WoodDeckSF,28.4857955446
BsmtFinSF1,11.9470162239
2ndFlrSF,1.5590454324
LotArea,0.3021684498
MSSubClass,0
LotFrontage,0
OverallQual,0
OverallCond,0
BsmtFinSF2,0
BsmtUnfSF,0
1stFlrSF,0
LowQualFinSF,0
BsmtFullBath,0
BsmtHalfBath,0
FullBath,0
HalfBath,0
BedroomAbvGr,0
KitchenAbvGr,0
TotRmsAbvGrd,0
Fireplaces,0
GarageCars,0
OpenPorchSF,0
EnclosedPorch,0
3SsnPorch,0
ScreenPorch,0
PoolArea,0
MoSold,0
YrSold,0
MasVnrType_BrkCmn,0
MasVnrType_BrkFace,0
MasVnrType_None,0
MasVnrType_Stone,0
LotConfig_Corner,0
LotConfig_CulDSac,0
LotConfig_FR2,0
LotConfig_FR3,0
LotConfig_Inside,0
GarageQual_Fa,0
GarageQual_Gd,0
GarageQual_Po,0
GarageQual_TA,0
Exterior1st_AsbShng,0
Exterior1st_AsphShn,0
Exterior1st_BrkComm,0
Exterior1st_BrkFace,0
Exterior1st_CBlock,0
Exterior1st_CemntBd,0
Exterior1st_HdBoard,0
Exterior1st_MetalSd,0
Exterior1st_Plywood,0
Exterior1st_Stucco,0
Exterior1st_VinylSd,0
Exterior1st_Wd Sdng,0
Exterior1st_WdShing,0
GarageFinish_Fin,0
GarageFinish_RFn,0
GarageFinish_Unf,0
Utilities_AllPub,0
Fence_GdPrv,0
Fence_GdWo,0
Fence_MnPrv,0
Fence_MnWw,0
Electrical_FuseA,0
Electrical_FuseF,0
Electrical_FuseP,0
Electrical_SBrkr,0
BsmtQual_Ex,0
BsmtQual_Fa,0
BsmtQual_Gd,0
BsmtQual_TA,0
SaleCondition_Abnorml,0
SaleCondition_AdjLand,0
SaleCondition_Alloca,0
SaleCondition_Family,0
SaleCondition_Normal,0
SaleCondition_Partial,0
HouseStyle_1.5Fin,0
HouseStyle_1.5Unf,0
HouseStyle_1Story,0
HouseStyle_2.5Unf,0
HouseStyle_2Story,0
HouseStyle_SFoyer,0
HouseStyle_SLvl,0
SaleType_COD,0
SaleType_CWD,0
SaleType_Con,0
SaleType_ConLD,0
SaleType_ConLI,0
SaleType_ConLw,0
SaleType_New,0
SaleType_Oth,0
SaleType_WD,0
Foundation_BrkTil,0
Foundation_CBlock,0
Foundation_PConc,0
Foundation_Slab,0
Foundation_Stone,0
Foundation_Wood,0
ExterCond_Ex,0
ExterCond_Fa,0
ExterCond_Gd,0
ExterCond_Po,0
ExterCond_TA,0
BsmtCond_Fa,0
BsmtCond_Gd,0
BsmtCond_Po,0
BsmtCond_TA,0
HeatingQC_Ex,0
HeatingQC_Fa,0
HeatingQC_Gd,0
HeatingQC_Po,0
HeatingQC_TA,0
CentralAir_N,0
CentralAir_Y,0
BsmtExposure_Av,0
BsmtExposure_Gd,0
BsmtExposure_Mn,0
BsmtExposure_No,0
LotShape_IR1,0
LotShape_IR2,0
LotShape_IR3,0
LotShape_Reg,0
MiscFeature_Gar2,0
MiscFeature_Othr,0
MiscFeature_Shed,0
PavedDrive_N,0
PavedDrive_P,0
PavedDrive_Y,0
LandSlope_Gtl,0
LandSlope_Mod,0
LandSlope_Sev,0
Exterior2nd_AsbShng,0
Exterior2nd_AsphShn,0
Exterior2nd_Brk Cmn,0
Exterior2nd_BrkFace,0
Exterior2nd_CBlock,0
Exterior2nd_CmentBd,0
Exterior2nd_HdBoard,0
Exterior2nd_ImStucc,0
Exterior2nd_MetalSd,0
Exterior2nd_Plywood,0
Exterior2nd_Stone,0
Exterior2nd_Stucco,0
Exterior2nd_VinylSd,0
Exterior2nd_Wd Sdng,0
Exterior2nd_Wd Shng,0
Heating_GasA,0
Heating_GasW,0
Heating_Grav,0
Heating_Wall,0
PoolQC_Ex,0
PoolQC_Gd,0
KitchenQual_Ex,0
KitchenQual_Fa,0
KitchenQual_Gd,0
KitchenQual_TA,0
BsmtFinType2_ALQ,0
BsmtFinType2_BLQ,0
BsmtFinType2_GLQ,0
BsmtFinType2_LwQ,0
BsmtFinType2_Rec,0
BsmtFinType2_Unf,0
BsmtFinType1_ALQ,0
BsmtFinType1_BLQ,0
BsmtFinType1_GLQ,0
BsmtFinType1_LwQ,0
BsmtFinType1_Rec,0
BsmtFinType1_Unf,0
Condition2_Artery,0
Condition2_Feedr,0
Condition2_Norm,0
Condition2_PosA,0
Condition2_PosN,0
Condition1_Artery,0
Condition1_Feedr,0
Condition1_Norm,0
Condition1_PosA,0
Condition1_PosN,0
Condition1_RRAe,0
Condition1_RRAn,0
Condition1_RRNe,0
Condition1_RRNn,0
GarageType_2Types,0
GarageType_Attchd,0
GarageType_Basment,0
GarageType_BuiltIn,0
GarageType_CarPort,0
GarageType_Detchd,0
LandContour_Bnk,0
LandContour_HLS,0
LandContour_Low,0
LandContour_Lvl,0
RoofMatl_CompShg,0
RoofMatl_Tar&Grv,0
RoofMatl_WdShake,0
RoofMatl_WdShngl,0
Neighborhood_Blmngtn,0
Neighborhood_Blueste,0
Neighborhood_BrDale,0
Neighborhood_BrkSide,0
Neighborhood_ClearCr,0
Neighborhood_CollgCr,0
Neighborhood_Crawfor,0
Neighborhood_Edwards,0
Neighborhood_Gilbert,0
Neighborhood_IDOTRR,0
Neighborhood_MeadowV,0
Neighborhood_Mitchel,0
Neighborhood_NAmes,0
Neighborhood_NPkVill,0
Neighborhood_NWAmes,0
Neighborhood_NoRidge,0
Neighborhood_NridgHt,0
Neighborhood_OldTown,0
Neighborhood_SWISU,0
Neighborhood_Sawyer,0
Neighborhood_SawyerW,0
Neighborhood_Somerst,0
Neighborhood_StoneBr,0
Neighborhood_Timber,0
Neighborhood_Veenker,0
BldgType_1Fam,0
BldgType_2fmCon,0
BldgType_Duplex,0
BldgType_Twnhs,0
BldgType_TwnhsE,0
ExterQual_Ex,0
ExterQual_Fa,0
ExterQual_Gd,0
ExterQual_TA,0
Functional_Maj1,0
Functional_Maj2,0
Functional_Min1,0
Functional_Min2,0
Functional_Mod,0
Functional_Sev,0
Functional_Typ,0
Alley_Grvl,0
Alley_Pave,0
RoofStyle_Flat,0
RoofStyle_Gable,0
RoofStyle_Gambrel,0
RoofStyle_Hip,0
RoofStyle_Mansard,0
RoofStyle_Shed,0
Street_Grvl,0
Street_Pave,0
MSZoning_C (all),0
MSZoning_FV,0
MSZoning_RH,0
MSZoning_RL,0
MSZoning_RM,0
FireplaceQu_Ex,0
FireplaceQu_Fa,0
FireplaceQu_Gd,0
FireplaceQu_Po,0
FireplaceQu_TA,0
GarageCond_Ex,0
GarageCond_Fa,0
GarageCond_Gd,0
GarageCond_Po,0
GarageCond_TA,0
MiscVal,-0.1489844961
