mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_learning_rate,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
27.3006147861,0.0179500102997,0.891232153162,0.982905824951,0.05,1,2,500,"{'min_samples_split': 2, 'n_estimators': 500, 'learning_rate': 0.05, 'min_samples_leaf': 1}",26,0.907928897841,0.983779772225,0.846002220897,0.983788105713,0.897762042469,0.982054360987,0.902591594259,0.981908909502,0.901876010344,0.98299797633,0.895182612948,0.00363325269431,0.0228451137343,0.000808644093612
58.3716170311,0.0456615447998,0.892868041159,0.990503801991,0.05,1,2,1000,"{'min_samples_split': 2, 'n_estimators': 1000, 'learning_rate': 0.05, 'min_samples_leaf': 1}",10,0.907551326416,0.990694246782,0.845000660662,0.99128808159,0.898699872047,0.989914721087,0.911368797429,0.98986153495,0.901719549238,0.990760425548,3.76239808486,0.0236781352849,0.0243373063871,0.000543459772501
32.8393431664,0.0142382621765,0.89063620344,0.982878656631,0.05,1,3,500,"{'min_samples_split': 3, 'n_estimators': 500, 'learning_rate': 0.05, 'min_samples_leaf': 1}",32,0.904785035362,0.983826480838,0.838027597828,0.983689947659,0.900079419224,0.98201325989,0.910915713333,0.981721297888,0.899373251454,0.983142296878,1.16512717804,0.0048929990152,0.0266256405857,0.000861911923451
62.4119417667,0.0151368141174,0.892094037437,0.990411175874,0.05,1,3,1000,"{'min_samples_split': 3, 'n_estimators': 1000, 'learning_rate': 0.05, 'min_samples_leaf': 1}",18,0.905754983632,0.990576126742,0.838212625371,0.991203389921,0.898603761778,0.989697622394,0.914574920985,0.989890330578,0.903323895421,0.990688409737,2.83105890495,0.00289727607784,0.0274361235,0.00054992888465
31.42514081,0.0185385704041,0.889291973931,0.982864912438,0.05,1,4,500,"{'min_samples_split': 4, 'n_estimators': 500, 'learning_rate': 0.05, 'min_samples_leaf': 1}",43,0.907257539334,0.983818203098,0.834255895907,0.983742093079,0.898628936498,0.982055510383,0.906982173531,0.981794845827,0.899335324388,0.982913909803,1.33953160133,0.00750419290383,0.0277586827667,0.0008343601068
55.8302513599,0.0186690330505,0.889971124516,0.990389601367,0.05,1,4,1000,"{'min_samples_split': 4, 'n_estimators': 1000, 'learning_rate': 0.05, 'min_samples_leaf': 1}",39,0.903111254488,0.990841802054,0.838339860281,0.991120407105,0.899049817578,0.989620972811,0.909874738816,0.989727427465,0.899479951415,0.990637397401,0.765123926283,0.00821065520913,0.0261053434421,0.000604851964804
30.6920911789,0.0175311565399,0.891335872708,0.982821166844,0.05,1,5,500,"{'min_samples_split': 5, 'n_estimators': 500, 'learning_rate': 0.05, 'min_samples_leaf': 1}",25,0.904603010266,0.983792814344,0.849063117726,0.983451760925,0.900379464797,0.982160477523,0.910256841546,0.98162051457,0.892376929208,0.983080266857,1.52465710964,0.00681626704218,0.0219265873816,0.000810796748426
54.8015106201,0.0265993595123,0.89284184329,0.990311342094,0.05,1,5,1000,"{'min_samples_split': 5, 'n_estimators': 1000, 'learning_rate': 0.05, 'min_samples_leaf': 1}",11,0.903652762242,0.990663979297,0.854167608339,0.990829812233,0.899975545474,0.989569812049,0.913621816917,0.989796404037,0.892791483478,0.990696702853,1.50845618299,0.007411138237,0.0204708180808,0.000520902141537
33.0911427975,0.0194172382355,0.890701828425,0.983863226107,0.05,2,2,500,"{'min_samples_split': 2, 'n_estimators': 500, 'learning_rate': 0.05, 'min_samples_leaf': 2}",29,0.908528055741,0.984759142979,0.84882559233,0.984605712538,0.901896264207,0.98367934807,0.910049560389,0.98287924375,0.884209669457,0.983392683196,1.3558637087,0.0105957145133,0.0228612851016,0.00071796882733
64.9961882591,0.02838139534,0.891049097125,0.992285838467,0.05,2,2,1000,"{'min_samples_split': 2, 'n_estimators': 1000, 'learning_rate': 0.05, 'min_samples_leaf': 2}",28,0.908274130072,0.992585857955,0.848768461103,0.992711525011,0.903078576911,0.992075185456,0.909159676659,0.99197427829,0.885964640882,0.992082345624,2.48137823421,0.012685419137,0.0227284276302,0.000301355105904
34.0917374611,0.0179355621338,0.891155883974,0.983863226107,0.05,2,3,500,"{'min_samples_split': 3, 'n_estimators': 500, 'learning_rate': 0.05, 'min_samples_leaf': 2}",27,0.907074565328,0.984759142979,0.848709511653,0.984605712538,0.903270623845,0.98367934807,0.913136579568,0.98287924375,0.883588139475,0.983392683196,2.01873593344,0.00628310032411,0.0234191699129,0.00071796882733
63.1681465626,0.0354775905609,0.89138291895,0.992285838467,0.05,2,3,1000,"{'min_samples_split': 3, 'n_estimators': 1000, 'learning_rate': 0.05, 'min_samples_leaf': 2}",24,0.908037985955,0.992585857955,0.848813793968,0.992711525011,0.903428137975,0.992075185456,0.910627184106,0.99197427829,0.886007492746,0.992082345624,1.20026841284,0.0281338069927,0.0229514527136,0.000301355105904
33.1390222073,0.0144859313965,0.890674127638,0.983863226107,0.05,2,4,500,"{'min_samples_split': 4, 'n_estimators': 500, 'learning_rate': 0.05, 'min_samples_leaf': 2}",30,0.907194036107,0.984759142979,0.848752972659,0.984605712538,0.903955680781,0.98367934807,0.908884275127,0.98287924375,0.884583673518,0.983392683196,1.48114830466,0.0107062441171,0.0226953447536,0.00071796882733
64.8547305584,0.03565325737,0.891597897148,0.992285838467,0.05,2,4,1000,"{'min_samples_split': 4, 'n_estimators': 1000, 'learning_rate': 0.05, 'min_samples_leaf': 2}",22,0.909630398366,0.992585857955,0.849310246623,0.992711525011,0.902678675482,0.992075185456,0.910627060747,0.99197427829,0.885743104522,0.992082345624,1.94244904763,0.0222296010944,0.0229459704505,0.000301355105904
33.351679945,0.024749994278,0.892394055844,0.983595255965,0.05,2,5,500,"{'min_samples_split': 5, 'n_estimators': 500, 'learning_rate': 0.05, 'min_samples_leaf': 2}",15,0.908761277166,0.984360541703,0.859939498435,0.984027187441,0.905129158061,0.983890176104,0.904459165768,0.982692704931,0.883681179791,0.983005669644,1.77235265494,0.0150532589689,0.018465362956,0.000635832579677
64.8369909286,0.021885061264,0.893626209244,0.992023074145,0.05,2,5,1000,"{'min_samples_split': 5, 'n_estimators': 1000, 'learning_rate': 0.05, 'min_samples_leaf': 2}",8,0.909154380674,0.991891052521,0.860134370457,0.992334010414,0.90340765421,0.991959640094,0.913046474646,0.991760570059,0.882388166232,0.992170097635,1.5742821906,0.00367534398476,0.0198088079297,0.000204283750343
34.0506650925,0.0206599712372,0.880074099407,0.982097930736,0.05,5,2,500,"{'min_samples_split': 2, 'n_estimators': 500, 'learning_rate': 0.05, 'min_samples_leaf': 5}",58,0.896225298168,0.981772523816,0.817616343259,0.981942844864,0.89001656032,0.983602220348,0.921278536662,0.98141390789,0.875233758626,0.981758156763,1.78297383457,0.0107995419101,0.0345887831582,0.000771513076196
66.6020840645,0.0277543544769,0.879836742895,0.991779721627,0.05,5,2,1000,"{'min_samples_split': 2, 'n_estimators': 1000, 'learning_rate': 0.05, 'min_samples_leaf': 5}",63,0.895263322425,0.991796296996,0.818585126384,0.99156355326,0.886601591664,0.992224851219,0.922767382203,0.991920208572,0.8759662918,0.991393698085,1.07785678026,0.00807152652206,0.0343322683292,0.000287713265522
32.772996664,0.0158289909363,0.880039957252,0.982097930736,0.05,5,3,500,"{'min_samples_split': 3, 'n_estimators': 500, 'learning_rate': 0.05, 'min_samples_leaf': 5}",60,0.896266119938,0.981772523816,0.81753057909,0.981942844864,0.890150905985,0.983602220348,0.921260935939,0.98141390789,0.874991245309,0.981758156763,1.26834473135,0.00747555842369,0.0346340889131,0.000771513076196
70.9276992321,0.0563327789307,0.879819194486,0.991779721627,0.05,5,3,1000,"{'min_samples_split': 3, 'n_estimators': 1000, 'learning_rate': 0.05, 'min_samples_leaf': 5}",64,0.895170406315,0.991796296996,0.818425115274,0.99156355326,0.886590465089,0.992224851219,0.922939591686,0.991920208572,0.875970394065,0.991393698085,3.14363590453,0.020418826623,0.0344236101879,0.000287713265522
37.0840817451,0.0111465930939,0.880160180913,0.982097930736,0.05,5,4,500,"{'min_samples_split': 4, 'n_estimators': 500, 'learning_rate': 0.05, 'min_samples_leaf': 5}",57,0.896335591557,0.981772523816,0.817686909492,0.981942844864,0.890356035847,0.983602220348,0.921238670056,0.98141390789,0.875183697612,0.981758156763,3.82336448117,0.00316988052094,0.0345853051616,0.000771513076196
71.593089962,0.0372004032135,0.880056026138,0.991779721627,0.05,5,4,1000,"{'min_samples_split': 4, 'n_estimators': 1000, 'learning_rate': 0.05, 'min_samples_leaf': 5}",59,0.89542926345,0.991796296996,0.818872560311,0.99156355326,0.886675705904,0.992224851219,0.92294489294,0.991920208572,0.876357708085,0.991393698085,1.67902609337,0.0133704640575,0.0342832481779,0.000287713265522
36.1750416756,0.0192101478577,0.879989369293,0.982097930736,0.05,5,5,500,"{'min_samples_split': 5, 'n_estimators': 500, 'learning_rate': 0.05, 'min_samples_leaf': 5}",61,0.896224714265,0.981772523816,0.817364685046,0.981942844864,0.890171083459,0.983602220348,0.921172787802,0.98141390789,0.875013575892,0.981758156763,1.26995775983,0.00641462956258,0.0346696907595,0.000771513076196
65.7648943901,0.0197034358978,0.879967246451,0.991779721627,0.05,5,5,1000,"{'min_samples_split': 5, 'n_estimators': 1000, 'learning_rate': 0.05, 'min_samples_leaf': 5}",62,0.895367662772,0.991796296996,0.818993136606,0.99156355326,0.886503388433,0.992224851219,0.922802942095,0.991920208572,0.876169102351,0.991393698085,0.644267440974,0.00803436351634,0.0341966628962,0.000287713265522
32.3768339634,0.0172060012817,0.889061949786,0.986948462218,0.07,1,2,500,"{'min_samples_split': 2, 'n_estimators': 500, 'learning_rate': 0.07, 'min_samples_leaf': 1}",46,0.902194060152,0.987338203521,0.838725278115,0.987569957827,0.899054679535,0.986517446746,0.906201733125,0.985916895247,0.899133998002,0.987399807752,1.33944080965,0.00789072745742,0.0253033824362,0.000631153328394
60.5522910595,0.0250203132629,0.891517785029,0.993631168277,0.07,1,2,1000,"{'min_samples_split': 2, 'n_estimators': 1000, 'learning_rate': 0.07, 'min_samples_leaf': 1}",23,0.90375329981,0.993806852942,0.844712700316,0.993808644967,0.89866832788,0.993134750232,0.911677227295,0.993452848502,0.898777369847,0.99395274474,1.58387755064,0.0111047370327,0.0238774317054,0.000297994401373
32.1485199451,0.0216012954712,0.892113564734,0.987030910311,0.07,1,3,500,"{'min_samples_split': 3, 'n_estimators': 500, 'learning_rate': 0.07, 'min_samples_leaf': 1}",17,0.903327052648,0.98755238566,0.844542726949,0.987916958557,0.902497011881,0.986712485508,0.901604874744,0.98580916396,0.908596157446,0.98716355787,1.67155261015,0.0032203576352,0.0239094279383,0.000730571271041
71.4346198082,0.041749382019,0.891710413864,0.993613091968,0.07,1,3,1000,"{'min_samples_split': 3, 'n_estimators': 1000, 'learning_rate': 0.07, 'min_samples_leaf': 1}",21,0.900515587215,0.993738664104,0.841481990985,0.993792880325,0.907904459073,0.993318496812,0.907353203163,0.993429211609,0.901296828886,0.993786206992,2.39443975834,0.0191042702767,0.0252953310036,0.000199328531964
39.1995208263,0.0249114513397,0.892523128499,0.986892826469,0.07,1,4,500,"{'min_samples_split': 4, 'n_estimators': 500, 'learning_rate': 0.07, 'min_samples_leaf': 1}",14,0.902465043596,0.98736357104,0.842374852835,0.987929175185,0.909010460987,0.986382837997,0.902662848189,0.985738658518,0.90610243689,0.987049889605,1.7131796275,0.00898221441703,0.0251902159268,0.000763214234756
75.3065077305,0.0696776390076,0.89274037626,0.993553774275,0.07,1,4,1000,"{'min_samples_split': 4, 'n_estimators': 1000, 'learning_rate': 0.07, 'min_samples_leaf': 1}",12,0.906534467172,0.99356643799,0.837450561131,0.993974847913,0.906891406879,0.992941389042,0.906214410559,0.993468288472,0.906611035558,0.993817907956,1.4997417432,0.0303314019406,0.0276457485279,0.000354838970597
38.1853798389,0.027640914917,0.892705239528,0.98667631315,0.07,1,5,500,"{'min_samples_split': 5, 'n_estimators': 500, 'learning_rate': 0.07, 'min_samples_leaf': 1}",13,0.905793628046,0.987416203158,0.834586911323,0.987162742451,0.906265063118,0.986260974996,0.910272678452,0.985786417649,0.9066079167,0.986755227496,1.41312673357,0.0140894530637,0.029102625813,0.000592401544052
65.390610981,0.0336236476898,0.894087842158,0.993461679326,0.07,1,5,1000,"{'min_samples_split': 5, 'n_estimators': 1000, 'learning_rate': 0.07, 'min_samples_leaf': 1}",5,0.907092503443,0.993871970817,0.834371347223,0.993563496726,0.908331356169,0.992981779876,0.915153151967,0.993251950206,0.905490851988,0.993639199005,1.04896492771,0.0166493981134,0.0300394227124,0.00031129051167
39.8139213562,0.0199387550354,0.889351633216,0.988229305651,0.07,2,2,500,"{'min_samples_split': 2, 'n_estimators': 500, 'learning_rate': 0.07, 'min_samples_leaf': 2}",41,0.906657196686,0.988438146241,0.847696328471,0.988923093982,0.899217897139,0.988074531353,0.90852458119,0.987283417475,0.884662162592,0.988427339202,1.3762397819,0.00584841124515,0.0224569952261,0.000544579370365
76.922841835,0.052790594101,0.88934357191,0.995216309236,0.07,2,2,1000,"{'min_samples_split': 2, 'n_estimators': 1000, 'learning_rate': 0.07, 'min_samples_leaf': 2}",42,0.908301777884,0.995125379486,0.848775792497,0.995741799035,0.894774291785,0.995074469333,0.910171590904,0.995036247039,0.884694406479,0.995103651289,2.67537762621,0.0258124353113,0.0223162368378,0.000264439223318
41.1376862526,0.0194751739502,0.88856829697,0.988229305651,0.07,2,3,500,"{'min_samples_split': 3, 'n_estimators': 500, 'learning_rate': 0.07, 'min_samples_leaf': 2}",47,0.906570434899,0.988438146241,0.850778864683,0.988923093982,0.899427789144,0.988074531353,0.901698418799,0.987283417475,0.884365977327,0.988427339202,1.45274650343,0.00926626072109,0.0202983069367,0.000544579370365
